,id,brand,price,start_time,start_day,end_day,end_time,trip_time,destination,hand_luggage,checked_baggage,crawl_date
0,PQC0002,Bamboo Airways,1.245.267 VND/khách,16:30,02 thg 5,02 thg 5,17:30,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
1,PQC0323,Vietravel Airlines,1.224.930 VND/khách,17:25,02 thg 5,02 thg 5,18:25,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
2,PQC0292,Vietnam Airlines,1.535.463 VND/khách,17:25,02 thg 5,02 thg 5,18:25,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,01-05-2025
3,PQC0109,VietJet Air,1.567.000 VND/khách,15:40,02 thg 5,02 thg 5,16:40,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
4,PQC0132,VietJet Air,1.567.000 VND/khách,17:10,02 thg 5,02 thg 5,18:15,1h 5m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
5,PQC0017,VietJet Air,1.635.000 VND/khách,05:55,02 thg 5,02 thg 5,06:55,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
6,PQC0182,Vietnam Airlines,1.735.463 VND/khách,05:40,02 thg 5,02 thg 5,06:40,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,01-05-2025
7,PQC0305,Vietnam Airlines,1.735.463 VND/khách,20:20,02 thg 5,02 thg 5,21:20,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,01-05-2025
8,PQC0042,VietJet Air,1.827.000 VND/khách,09:20,02 thg 5,02 thg 5,10:20,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
9,PQC0088,VietJet Air,1.827.000 VND/khách,14:05,02 thg 5,02 thg 5,15:05,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
10,PQC0201,Vietnam Airlines,1.827.820 VND/khách,07:00,02 thg 5,02 thg 5,08:05,1h 5m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,01-05-2025
11,PQC0245,Vietnam Airlines,1.979.244 VND/khách,10:30,02 thg 5,02 thg 5,11:35,1h 5m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,01-05-2025
12,PQC0226,Vietnam Airlines,2.040.458 VND/khách,10:25,02 thg 5,02 thg 5,11:25,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,01-05-2025
13,PQC0269,Vietnam Airlines,2.040.458 VND/khách,15:05,02 thg 5,02 thg 5,16:10,1h 5m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,01-05-2025
14,PQC0003,Bamboo Airways,869.953 VND/khách,16:30,03 thg 5,03 thg 5,17:30,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
15,PQC0324,Vietravel Airlines,1.068.323 VND/khách,17:25,03 thg 5,03 thg 5,18:25,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
16,PQC0018,VietJet Air,1.146.000 VND/khách,05:55,03 thg 5,03 thg 5,06:55,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
17,PQC0037,VietJet Air,1.146.000 VND/khách,08:25,03 thg 5,03 thg 5,09:30,1h 5m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
18,PQC0133,VietJet Air,1.284.000 VND/khách,17:10,03 thg 5,03 thg 5,18:15,1h 5m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
19,PQC0293,Vietnam Airlines,1.390.608 VND/khách,17:25,03 thg 5,03 thg 5,18:25,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,01-05-2025
20,PQC0247,Vietnam Airlines,1.411.137 VND/khách,12:20,03 thg 5,03 thg 5,13:25,1h 5m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,01-05-2025
21,PQC0183,Vietnam Airlines,1.479.519 VND/khách,05:40,03 thg 5,03 thg 5,06:40,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,01-05-2025
22,PQC0306,Vietnam Airlines,1.501.497 VND/khách,20:20,03 thg 5,03 thg 5,21:20,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,01-05-2025
23,PQC0270,Vietnam Airlines,1.501.497 VND/khách,15:05,03 thg 5,03 thg 5,16:10,1h 5m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,01-05-2025
24,PQC0204,Vietnam Airlines,1.535.463 VND/khách,08:10,03 thg 5,03 thg 5,08:55,45m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,01-05-2025
25,PQC0089,VietJet Air,1.567.000 VND/khách,14:05,03 thg 5,03 thg 5,15:05,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
26,PQC0110,VietJet Air,1.567.000 VND/khách,15:40,03 thg 5,03 thg 5,16:40,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
27,PQC0043,VietJet Air,1.794.000 VND/khách,09:20,03 thg 5,03 thg 5,10:20,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
28,PQC0067,VietJet Air,1.794.000 VND/khách,11:35,03 thg 5,03 thg 5,12:35,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
29,PQC0252,Vietnam Airlines,1.886.112 VND/khách,13:05,03 thg 5,03 thg 5,14:00,55m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,01-05-2025
30,PQC0227,Vietnam Airlines,1.920.078 VND/khách,10:25,03 thg 5,03 thg 5,11:25,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 1 x 12 kg,Hành lý 23 kg,01-05-2025
31,PQC0004,Bamboo Airways,1.013.756 VND/khách,16:30,04 thg 5,04 thg 5,17:30,1h 0m,"Phú Quốc (PQC)
Sân bay Phú Quốc",Hành lý xách tay 7 kg,Hành lý 0 kg,01-05-2025
